Categoria,Nome do Produto,Voltagem,Preço Principal,Preço à Vista,Qtd. Parcelas,Valor Parcela,URL da Imagem
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 48.000 BTUs Só Frio 220V Trifásico,48000 BTUs,"R$ R$ 12.399,00 à prazo","ou R$ 11.779,05 à vista",8x,"R$ 1.549,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-48-000-btus-s-frio-220v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 48.000 BTUs Só Frio 380V Trifásico,,"R$ 12.299,00","ou R$ 11.684,05 à vista",8x,"R$ 1.537,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-48-000-btus-s-frio-380v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 48.000 BTUs Só Frio 380V Trifásico,48000 BTUs,"R$ R$ 12.299,00 à prazo","ou R$ 11.684,05 à vista",8x,"R$ 1.537,38 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-48-000-btus-s-frio-380v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 55.000 BTUs Só Frio 220V Trifásico,,"R$ 13.599,00","ou R$ 12.919,05 à vista",8x,"R$ 1.699,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-55-000-btus-s-frio-220v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 55.000 BTUs Só Frio 220V Trifásico,55000 BTUs,"R$ R$ 13.599,00 à prazo","ou R$ 12.919,05 à vista",8x,"R$ 1.699,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-55-000-btus-s-frio-220v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 55.000 BTUs Só Frio 380V Trifásico,,"R$ 13.399,00","ou R$ 12.729,05 à vista",8x,"R$ 1.674,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-55-000-btus-s-frio-380v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete 4 Vias Hitachi Air Core 55.000 BTUs Só Frio 380V Trifásico,55000 BTUs,"R$ R$ 13.399,00 à prazo","ou R$ 12.729,05 à vista",8x,"R$ 1.674,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-4-vias-hitachi-air-core-55-000-btus-s-frio-380v-trif-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias Hitachi AirCore 600 46.000 BTUs Quente/Frio 220V Monofásico,,"R$ 15.069,00","ou R$ 14.315,55 à vista",8x,"R$ 1.883,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-hitachi-aircore-600-46-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete Inverter 4 Vias Hitachi AirCore 600 46.000 BTUs Quente/Frio 220V Monofásico,46000 BTUs,"R$ R$ 15.069,00 à prazo","ou R$ 14.315,55 à vista",8x,"R$ 1.883,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-inverter-4-vias-hitachi-aircore-600-46-000-btus-quente-frio-220v-monof-sico.webp
Cassete,Ar-Condicionado Split Cassete 1 Via Inverter LG WI-FI Conect 24.000 BTUs Quente/Frio 220V Monofásico,220  V,"R$ 12.399,00","ou R$ 11.779,05 à vista",8x,"R$ 1.549,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-cassete-1-via-inverter-lg-wi-fi-conect-24-000-btus-quente-frio-220v-monof-sico.webp
